iter,time,reward,steps,convergence,,,
175,0.1246,92,10,2.57586988,3.704425352,2.857663723,3.568099772
176,0.1682,90,12,2.580185259,3.831671583,2.554379987,3.700714732
177,0.1393,93,9,2.202281559,4.091693847,2.678820932,3.614242844
178,0.1332,87,15,2.153323487,4.090288443,2.653553432,3.470191128
179,0.1489,90,12,2.075057028,3.812011162,2.570036133,3.562148394
180,0.1839,93,9,1.425184192,3.777347912,2.069048189,2.931235669
181,0.096,93,9,1.449348286,3.724660265,2.019734976,3.47367943
182,0.1512,90,12,1.376766468,3.771899796,1.909704175,3.563743002
183,0.1379,89,13,1.354943203,3.396462883,1.86625048,2.824102098
184,0.1014,86,16,1.14783549,3.263790726,1.995951539,2.337319893
185,0.1221,90,12,1.105828244,3.417264618,1.655515921,2.731370532
186,0.1124,91,11,1.127113906,3.259646649,1.649676874,3.15253342
187,0.1262,83,19,0.996876406,3.025551154,1.519769891,3.078181666
188,0.1611,87,15,0.959455522,2.91344897,1.361831403,3.014042883
189,0.1169,91,11,1.572041787,2.879528497,1.267733062,2.823726446
190,0.207,89,13,1.653468756,3.31461164,1.201988256,2.780267218
191,0.1511,91,11,1.753990461,3.263119834,1.238091963,2.111339598
192,0.185,92,10,2.232206682,3.131494947,1.059976923,2.135324851
193,0.1507,91,11,2.378333653,3.00684581,1.237152095,2.11861698
194,0.178,93,9,2.593598123,2.955660292,1.136696496,2.047989687
195,0.1527,84,18,2.785368798,2.345326398,1.64048284,2.082314552
196,0.1849,91,11,2.768660805,1.923764247,1.64969539,1.623600684
197,0.1414,91,11,2.868609275,1.792730216,1.615289786,2.104894619
198,0.1004,89,13,2.947476477,1.883089653,1.680632768,2.340055602
199,0.1952,92,10,2.475160111,1.844243078,1.706865842,2.382924169
200,0.0884,92,10,2.487573411,1.292596381,1.699999953,2.473725854
201,0.1445,83,19,2.367340209,1.274282123,2.432781369,2.691356733
202,0.1554,90,12,2.01789999,1.331753755,2.706649821,2.585988548
203,0.1347,89,13,2.537299679,1.841576732,2.535873514,2.556022392
204,0.1712,91,11,2.521983744,1.909381802,2.496482047,2.583137422
205,0.1443,88,14,2.485297441,1.906479963,1.961984626,2.084893727
206,0.2436,88,14,2.460280361,1.904008417,1.890671533,1.987693413
207,0.1675,92,10,3.063241892,2.383176465,1.936218116,1.555415431
208,0.1695,89,13,3.171423498,2.234645042,1.960546573,1.914580779
209,0.1334,93,9,3.200209586,2.930067224,2.021001512,2.023217732
210,0.1978,91,11,3.511127866,3.011348623,2.589759837,2.370128527
211,0.1701,90,12,3.510972031,3.15698019,1.961328867,2.284888891
212,0.1287,90,12,3.458258226,3.187270749,2.405219229,2.276482268
213,0.1426,93,9,3.239079599,2.659726881,2.589050786,2.395578181
214,0.147,91,11,3.123627923,2.628821838,3.385037939,2.499222696
215,0.1262,93,9,3.030112065,2.59449052,3.506079428,2.585673601
216,0.1568,91,11,3.027075187,2.642343298,3.454165588,3.133180167
217,0.1513,88,14,2.409251037,2.199934048,3.610834834,3.259435726
218,0.1319,92,10,2.291248732,2.291310981,3.524343917,3.33949561
219,0.1752,90,12,2.856030046,1.736046325,3.453118409,3.32528118
220,0.1192,91,11,2.558777846,2.335327126,3.656738842,3.038975246
221,0.1234,93,9,3.053108819,2.611745632,3.627956323,3.028828452
222,0.1792,93,9,3.101365708,2.611980515,2.988179662,3.494155326
223,0.0902,88,14,2.718748126,2.600264497,2.860436871,3.566587864
224,0.1129,91,11,3.113542346,2.658642438,2.159855814,3.523552536
225,0.1042,91,11,3.214082365,2.60842251,2.272389117,3.848618014
226,0.1294,88,14,3.222808812,2.640805634,2.403493926,3.440561963
227,0.1174,93,9,3.268525609,2.683203725,2.23081441,3.423925916
228,0.1522,88,14,3.661763251,2.799860287,2.330121938,3.206675454
229,0.1444,93,9,3.026781723,2.719502404,2.325086848,3.165517164
230,0.1588,91,11,2.975842929,2.104141692,2.137758293,3.039977282
231,0.1174,92,10,2.543939173,2.432348287,2.084709038,3.058701752
232,0.1658,90,12,2.882998917,2.495013202,2.072622445,3.287298328
233,0.1634,91,11,3.505446106,2.492786885,2.145017906,3.111368979
234,0.1166,91,11,3.128877293,2.494786702,2.169677812,3.101702139
235,0.1469,92,10,3.063359127,2.481359352,2.167818067,3.173614105
236,0.2066,92,10,3.159383473,2.430977291,2.115207905,3.081228872
237,0.1927,92,10,3.075068763,2.436328819,2.516322182,3.423484856
238,0.1667,91,11,2.65532241,2.29078356,3.174222201,3.054402463
239,0.1151,88,14,2.556456779,2.660194201,3.292104789,3.008140399
240,0.1515,88,14,2.465011164,2.626197671,2.921549903,3.121958339
241,0.1415,93,9,2.397837526,1.975955833,3.051014787,3.068330438
242,0.2114,92,10,2.661697146,1.881495861,3.111131656,2.449246151
243,0.2028,89,13,2.015584425,1.860917866,3.673807002,2.92316262
244,0.1115,88,14,2.374048291,1.769465422,3.730749447,3.300401042
245,0.1468,93,9,2.395496464,1.864678615,3.658342002,3.039212045
246,0.1741,91,11,2.906548467,2.238615927,3.569079038,3.140232102
247,0.3475,91,11,3.013302698,2.16319517,3.185181463,2.82154045
248,0.1978,83,19,3.464785863,2.873955456,3.034671716,2.858595802
249,0.1778,89,13,3.58747522,2.5006908,3.483501702,2.908164516
250,0.1864,91,11,3.742177172,2.572022764,3.512660542,2.781494063
