iter,reward,steps,convergence,policy,reward,convergence,,reward,convergence
255,87,15,0.390756018,,90,3.593603401,,90,27.81234546
256,91,11,0.342952473,,89,3.633786029,,83,27.92087688
257,89,13,0.343133694,,89,3.716280932,,83,28.08820904
258,91,11,0.272536266,,90,3.868546067,,87,29.11213478
259,63,39,0.246421078,,89,3.396715559,,93,27.53250098
260,91,11,0.245458982,,88,3.203495169,,88,33.13249118
261,91,11,0.217766061,,88,3.052331769,,91,37.26131857
262,90,12,0.216143339,,93,2.31693723,,73,36.42750311
263,93,9,0.213889565,,89,2.146174346,,82,34.58282239
264,93,9,0.209873501,,90,2.707499025,,79,27.9642452
265,91,11,0.236305271,,89,3.113899687,,85,33.08944531
266,92,10,0.234301234,,86,3.753348534,,61,32.95124619
267,91,11,0.232317148,,91,3.677910666,,88,37.04964416
268,93,9,0.293015139,,85,3.569443438,,90,31.03388791
269,91,11,0.318948697,,93,3.499171808,,81,32.41536571
270,70,32,0.367604598,,89,3.958206287,,65,27.82120279
271,89,13,0.366029939,,89,4.38138778,,42,21.82678793
272,85,17,0.364284828,,91,4.830831542,,93,21.97411719
273,90,12,0.362374676,,93,4.896564126,,37,23.81897125
274,92,10,0.364813352,,90,4.949867021,,91,23.32018146
275,89,13,0.344503049,,91,4.836624706,,93,22.76485973
276,87,15,0.342630909,,92,4.795324336,,88,25.39897749
277,88,14,0.345981478,,89,4.846198719,,62,21.25515778
278,92,10,0.292174926,,87,4.873867349,,88,26.7591626
279,86,16,0.294779631,,85,4.965628721,,87,27.35134006
280,93,9,0.298742416,,88,4.588961597,,90,27.24105015
281,88,14,0.327547412,,89,4.187793222,,23,29.12358167
282,89,13,0.328157352,,91,3.765448672,,93,34.10962901
283,91,11,0.332425096,,91,3.684312302,,93,32.41096218
284,89,13,0.331575751,,88,3.233259948,,91,32.60217219
285,93,9,0.325784113,,93,2.847140722,,93,28.47019272
286,92,10,0.329767809,,92,2.239330172,,93,25.26529928
287,90,12,0.355278071,,88,2.161899306,,92,25.29971071
288,90,12,0.349443245,,90,1.472369113,,68,23.06367639
289,91,11,0.320987417,,93,2.060563584,,88,20.98684774
290,92,10,0.265865495,,87,2.523746513,,89,20.49588584
291,91,11,0.291127638,,89,2.552406528,,91,19.35359867
292,91,11,0.293429774,,91,2.471061456,,52,16.18400978
293,92,10,0.320831439,,85,3.143975156,,14,18.29595134
294,92,10,0.317328409,,89,3.082021177,,90,19.6615888
295,93,9,0.343065507,,90,3.563226838,,91,19.9048111
296,93,9,0.343702566,,91,4.238034974,,87,19.79239738
297,89,13,0.34523932,,90,4.267241573,,91,19.7652739
298,89,13,0.402236722,,93,4.760286443,,81,21.20060444
299,91,11,0.408099499,,91,4.194422688,,53,21.75468343
300,91,11,0.409105177,,92,3.656546349,,89,26.75058343
301,93,9,0.365376423,,93,4.138160283,,93,31.69331422
302,91,11,0.364876005,,89,4.292309489,,82,37.06757498
303,90,12,0.335570261,,91,4.06901281,,92,41.67231851
304,89,13,0.336718714,,90,4.003110022,,91,44.74648385
305,92,10,0.311464771,,90,3.928003011,,91,44.87725826
306,89,13,0.369034272,,88,3.337934737,,84,44.67480196
307,93,9,0.339561689,,91,3.368300178,,91,44.62428662
308,92,10,0.280670722,,91,3.340551324,,81,38.84685742
309,93,9,0.273064131,,88,3.646184066,,2,40.65631773
310,90,12,0.332863829,,93,3.798617565,,84,42.78211352
311,89,13,0.352962734,,90,3.367277188,,52,36.78410389
312,92,10,0.352000467,,83,3.411470542,,75,36.81756119
313,86,16,0.351254191,,88,3.110543025,,72,30.14699049
314,89,13,0.350515378,,87,3.229554772,,93,25.71378375
315,91,11,0.347193316,,93,2.817658169,,92,24.67372333
316,89,13,0.286691563,,91,2.775972446,,83,28.18859335
317,92,10,0.291057663,,91,2.888714704,,25,30.50357488
318,89,13,0.348844782,,88,2.509638346,,88,31.5496626
319,92,10,0.348760426,,93,2.770860747,,93,31.58233868
320,92,10,0.289660579,,80,2.576269915,,91,24.17686968
321,90,12,0.260502411,,92,2.486161172,,88,26.09485359
322,93,9,0.317571708,,90,3.042778993,,89,18.7238712
323,91,11,0.38501516,,90,2.940690732,,64,20.2480354
324,92,10,0.385324247,,90,2.778318522,,87,24.6046168
325,92,10,0.436941184,,93,2.756336098,,74,25.21009904
326,90,12,0.437931464,,91,2.625143614,,86,22.68889718
327,90,12,0.432944041,,91,3.025237742,,89,21.67193159
328,91,11,0.374541813,,90,3.02598574,,92,21.67266874
329,92,10,0.375878847,,85,2.459432171,,88,20.57243624
330,82,20,0.377109482,,89,2.65261966,,89,22.55799081
331,90,12,0.378039502,,90,2.603927158,,93,25.22385313
332,93,9,0.321685996,,91,2.67161534,,93,30.36907741
333,90,12,0.25404613,,92,2.619913049,,-512,29.88293666
334,91,11,0.254642517,,91,2.638425425,,76,25.35680323
335,90,12,0.203921999,,88,2.742909189,,91,25.55562646
336,87,15,0.203522949,,92,3.409376995,,90,23.56890225
337,93,9,0.203622787,,91,2.988376454,,84,21.7152644
338,91,11,0.255371652,,91,3.012612056,,91,22.41202446
339,92,10,0.257198028,,92,2.885753367,,92,21.3477853
340,90,12,0.255557951,,93,2.70035092,,17,21.34616872
341,81,21,0.256052129,,93,2.740516978,,92,21.34616872
342,93,9,0.284933696,,93,2.36454651,,89,16.08345566
343,91,11,0.352855731,,84,2.976655948,,75,15.27061323
344,91,11,0.353546063,,93,2.948473642,,92,16.46840633
345,86,16,0.354020768,,93,3.00138126,,88,21.0124457
346,93,9,0.353531063,,89,2.34448933,,90,22.23077125
347,85,17,0.353793798,,92,2.904408407,,89,24.22745997
348,90,12,0.354119413,,91,3.247821337,,93,23.40332992
349,90,12,0.354760964,,90,3.672661984,,89,27.95043392
350,89,13,0.384111882,,93,3.756086472,,88,27.94068705
351,89,13,0.382983928,,92,4.153797696,,67,24.52641184
352,90,12,0.353481197,,81,4.439374716,,93,24.50692428
353,86,16,0.289600972,,87,3.943432634,,92,29.22830461
354,89,13,0.287394375,,91,4.052057487,,91,27.85720516
355,92,10,0.285418567,,93,3.993905954,,57,24.13094528
356,91,11,0.284237171,,88,4.104565893,,91,23.62219343
357,91,11,0.350840881,,92,3.451594007,,78,23.38241538
358,92,10,0.297227395,,86,3.105112797,,91,24.21321883
359,89,13,0.349360943,,90,2.796845434,,53,19.16937622
360,90,12,0.329341189,,91,2.737638394,,82,17.87113187
361,90,12,0.359611519,,93,2.760212658,,89,17.04809957
362,93,9,0.35952229,,91,2.714755342,,83,19.08951044
363,93,9,0.359879061,,93,3.299198607,,25,20.8133735
364,85,17,0.358373746,,87,3.253376119,,90,22.29094711
365,92,10,0.359375487,,93,3.72561326,,54,28.21617159
366,93,9,0.391946443,,92,3.665823236,,27,27.51747844
367,90,12,0.322483389,,88,3.617393318,,-334,33.82094036
368,85,17,0.321380405,,92,4.019783091,,53,33.77269481
369,83,19,0.262353125,,89,4.058061206,,79,41.21254158
370,93,9,0.304676196,,92,4.102329496,,59,42.02465316
371,92,10,0.330049895,,89,3.756961476,,93,41.5922241
372,87,15,0.338936472,,92,3.182966462,,83,41.36888262
373,89,13,0.331891311,,93,2.606885852,,92,34.47524513
374,91,11,0.331757203,,90,3.19851708,,93,34.50987472
375,93,9,0.328961787,,87,3.401851631,,92,29.4387897
376,89,13,0.297686871,,92,3.52932428,,50,33.94072861
377,91,11,0.304446836,,92,3.507473704,,81,26.17633058
378,90,12,0.373595712,,92,3.026253236,,51,30.55073161
379,92,10,0.406160108,,91,2.836133864,,75,22.90090507
380,93,9,0.35424663,,92,2.729072363,,52,24.28035011
381,90,12,0.29444775,,93,3.073699799,,92,25.97477233
382,93,9,0.281738894,,86,3.038603116,,91,25.01737356
383,93,9,0.316354452,,93,3.077029309,,91,25.12339219
384,93,9,0.374085063,,92,2.529630658,,17,28.81404865
385,92,10,0.373284232,,91,1.76771151,,33,26.91066636
386,88,14,0.378159128,,82,2.228460524,,93,21.47239086
387,88,14,0.370563171,,93,2.955647306,,92,23.17429085
388,90,12,0.312947037,,90,3.098378402,,91,18.14585711
389,92,10,0.31474726,,85,3.229625251,,83,18.78803251
390,88,14,0.368653694,,86,3.692025159,,89,16.84479141
391,88,14,0.370993616,,86,3.334425662,,65,21.46710652
392,93,9,0.373945347,,90,3.398739628,,63,22.55756497
393,91,11,0.338220732,,86,3.321034917,,91,23.03618846
394,90,12,0.292135429,,86,3.222544289,,-18,17.65965328
395,93,9,0.294240978,,92,3.208740146,,85,17.30516885
396,92,10,0.321686838,,90,2.550813917,,87,19.4498153
397,89,13,0.330719544,,92,2.065246569,,58,25.02645035
398,93,9,0.35274342,,91,2.684888614,,39,23.29837049
399,91,11,0.353260496,,93,2.588926446,,85,27.61355747
400,85,17,0.298027435,,91,2.362845607,,48,26.85285854
401,90,12,0.351695734,,86,2.747479554,,89,26.62543574
402,89,13,0.351193939,,88,3.373622539,,82,24.60924875
403,93,9,0.350379299,,91,3.446976365,,90,23.88800398
404,90,12,0.392963761,,84,3.488821827,,87,23.76324088
405,92,10,0.389239363,,90,4.188589274,,90,23.75647416
406,90,12,0.389344497,,91,4.309879525,,93,22.0982201
407,93,9,0.379107043,,89,4.184361487,,93,19.81558506
408,91,11,0.343700278,,84,3.470826358,,84,20.14086919
409,89,13,0.310964324,,88,3.482284751,,75,20.81370302
410,86,16,0.316145279,,91,3.690692648,,90,20.96328311
411,93,9,0.262989465,,91,3.371630548,,79,14.37051384
412,87,15,0.260436678,,90,2.801372017,,46,17.2832031
413,91,11,0.264409198,,92,2.796163015,,84,18.70840125
414,90,12,0.21652095,,91,2.824016591,,7,19.44086751
415,92,10,0.22604861,,93,2.180705365,,87,21.06697593
416,89,13,0.190117225,,90,2.126910053,,89,20.99314016
417,91,11,0.245827082,,91,2.030869437,,92,16.37442368
418,92,10,0.25637049,,90,2.002819666,,-31,19.00148229
419,85,17,0.255907895,,87,2.448532651,,90,18.32864847
420,87,15,0.248040619,,91,2.109420648,,25,21.08749306
421,90,12,0.243972056,,92,2.104591719,,67,21.26402145
422,92,10,0.24272229,,91,2.512586323,,72,18.29355321
423,92,10,0.238770369,,92,3.095434555,,54,18.30072863
424,88,14,0.238898083,,92,3.094699434,,90,18.54215772
425,89,13,0.22939041,,93,3.469587478,,67,17.32726056
426,90,12,0.238724316,,92,3.498146583,,92,18.18237521
427,92,10,0.182070656,,89,3.532739776,,90,17.71963535
428,85,17,0.180723412,,92,3.678547602,,89,16.51753448
429,92,10,0.238214738,,86,3.316045256,,91,11.83627454
430,93,9,0.23701908,,91,3.894146683,,86,8.771861277
431,90,12,0.240498381,,90,3.758669291,,88,9.500463502
432,90,12,0.239765061,,90,3.729669847,,38,9.939247029
433,93,9,0.253568262,,93,3.713644525,,88,8.80417945
434,92,10,0.244334726,,92,3.733683563,,84,10.74053656
435,87,15,0.247983662,,91,3.409136102,,54,11.03973163
436,91,11,0.240485656,,90,3.424591317,,92,10.01237397
437,92,10,0.278938183,,93,3.579128133,,5,11.79982863
438,88,14,0.327403583,,92,3.645938198,,33,17.26789281
439,91,11,0.267200344,,86,3.727777711,,92,17.35981733
440,88,14,0.304676355,,90,3.83990936,,84,20.05460544
441,91,11,0.302049665,,88,4.514554812,,89,20.01386248
442,89,13,0.303618629,,89,4.100027746,,-2,25.00972098
443,92,10,0.297723824,,92,3.481993226,,92,25.64784249
444,90,12,0.298338329,,89,3.48026931,,83,23.73288742
445,92,10,0.352433968,,91,3.438546919,,93,25.79095118
446,89,13,0.360369133,,92,3.402288972,,93,27.57625131
447,89,13,0.325606734,,87,3.30330832,,84,25.75620836
448,88,14,0.271602414,,90,3.156751658,,21,19.24758278
449,87,15,0.331536513,,92,3.134161258,,74,20.22470493
450,92,10,0.298408064,,92,2.455241074,,91,22.77236926
451,93,9,0.296788146,,93,1.797394592,,-33,23.5891009
452,89,13,0.295200465,,92,1.702244509,,84,18.39617176
453,91,11,0.29063826,,92,1.741885007,,75,18.55955102
454,85,17,0.328340769,,89,1.721541841,,93,19.56290682
455,88,14,0.274203216,,88,1.812271781,,76,24.12868491
456,89,13,0.263590329,,93,2.224919092,,92,22.60574084
457,93,9,0.260655079,,92,2.5073575,,14,25.11951427
458,92,10,0.259919977,,85,2.583117636,,82,26.7758824
