iter,time,reward,steps,convergence,,time,reward,steps,convergence
243,2671.8794,13,89,0,,1776.9082,-16,118,0
244,2783.8651,4,98,0,,1770.61,-5,107,0
245,2744.864,7,95,0,,1788.3647,3,99,0
246,3497.3702,12,90,0,,1789.0288,9,93,0
247,2863.4604,15,87,0,,1798.4622,4,98,0
248,2765.9331,-9,111,0,,1860.0442,-2,104,0
249,2769.1996,5,97,0,,1801.5684,4,98,0
250,2851.785,-16,118,0,,1802.1305,-24,126,0
251,2821.1411,22,80,0,,1835.3434,-20,122,0
252,2842.0987,8,94,0,,1842.8137,4,98,0
253,3107.3793,-8,110,0,,1825.2775,3,99,0
254,2844.249,6,96,0,,1843.0497,3,99,0
255,2817.3104,9,93,0,,1836.9083,-18,120,0
256,2906.5286,0,102,0,,1860.0235,-11,113,0
257,2831.4709,7,95,0,,1865.0768,3,99,0
258,2973.963,-2,104,0,,1873.2481,-2,104,0
259,2981.5627,1,101,0,,1887.3401,1,101,0
260,2877.7972,-6,108,0,,1877.8336,-5,107,0
261,2802.8926,-9,111,0,,1887.2766,-2,104,0
262,3010.0446,2,100,0,,1897.3474,-12,114,0
263,2976.7219,1,101,0,,1903.4103,7,95,0
264,3048.0181,6,96,0,,1909.0449,15,87,0
265,3064.1165,12,90,0,,1933.4517,13,89,0
266,3003.6551,9,93,0,,1922.1323,3,99,0
267,3033.629,-3,105,0,,1945.137,-1,103,0
268,3020.114,-13,115,0,,1954.3642,4,98,0
269,3012.9714,-1,103,0,,1950.1386,10,92,0
270,3007.1285,5,97,0,,1992.9279,12,90,0
271,3077.4792,-5,107,0,,1966.7971,-1,103,0
272,3155.7063,2,100,0,,2051.6205,8,94,0
273,3094.229,18,84,0,,1976.7986,8,94,0
274,3191.1172,3,99,0,,1967.2367,-12,114,0
275,3121.7589,0,102,0,,2003.1068,7,95,0
276,3174.9941,-1,103,0,,1980.0191,-3,105,0
277,3372.8003,-12,114,0,,2002.5069,5,97,0
278,2992.5214,-5,107,0,,2010.7774,-4,106,0
279,3066.7074,16,86,0,,2006.5274,10,92,0
280,3318.6778,-10,112,0,,2036.235,1,101,0
281,3196.2109,-2,104,0,,2021.6814,4,98,0
282,3250.1613,14,88,0,,2162.7455,10,92,0
283,3222.1901,-1,103,0,,2051.6504,11,91,0
284,3235.8514,-21,123,0,,2063.6428,5,97,0
285,3580.3032,15,87,0,,2071.7058,4,98,0
286,3318.1175,20,82,0,,2066.0828,14,88,0
287,3276.0433,9,93,0,,2113.0369,11,91,0
288,3324.8462,-10,112,0,,2793.3641,5,97,0
289,3428.8672,1,101,0,,2250.318,1,101,0
290,3145.0362,0,102,0,,2105.8777,5,97,0
291,3480.751,1,101,0,,2252.6654,22,80,0
292,3185.3536,13,89,0,,2153.4745,-6,108,0
293,3182.5065,0,102,0,,2156.9305,-11,113,0
294,3222.967,11,91,0,,2116.2234,12,90,0
295,3568.691,-1,103,0,,2120.1395,-6,108,0
296,3431.5473,-18,120,0,,2222.6996,-1,103,0
297,3495.5299,4,98,0,,2131.9704,2,100,0
298,3809.9379,-4,106,0,,2170.5987,15,87,0
299,4056.815,4,98,0,,2161.0948,10,92,0
300,3423.6993,-2,104,0,,2167.4411,2,100,0
